"Year","Dam","MedianPassage","Species","MeanMayTemp","arr_GAM_mean"
2000,"Bonneville",143,"Coho",13.0303230148048,NA
2001,"Bonneville",144,"Coho",13.8139024390244,NA
2002,"Bonneville",139,"Coho",12.0017227456258,NA
2003,"Bonneville",136,"Coho",12.4623933975241,NA
2004,"Bonneville",126,"Coho",13.848938172043,NA
2005,"Bonneville",129,"Coho",13.6445833333333,NA
2006,"Bonneville",137,"Coho",13.0788844086022,NA
2007,"Bonneville",133,"Coho",13.0571639784946,NA
2008,"Bonneville",139,"Coho",12.1137096774194,NA
2009,"Bonneville",142,"Coho",12.1977956989247,NA
2010,"Bonneville",134,"Coho",12.4241397849462,NA
2011,"Bonneville",134,"Coho",11.4663172043011,NA
2012,"Bonneville",139,"Coho",12.285564516129,NA
2013,"Bonneville",134,"Coho",13.1988306451613,82.682
2014,"Bonneville",132,"Coho",13.0089650537634,91.6543333333333
2015,"Bonneville",129,"Coho",14.5528897849462,121.523666666667
2016,"Bonneville",123,"Coho",14.3642607526882,101.628
2017,"Bonneville",118,"Coho",12.5058019713262,133.529
2018,"Bonneville",126,"Coho",13.3567741935484,118.347333333333
2019,"Bonneville",130,"Coho",13.2521756756757,153.097333333333
2020,"Bonneville",128,"Coho",13.155531628533,140.797
2021,"Bonneville",128,"Coho",14.361541218638,86.9293333333333
2022,"Bonneville",135,"Coho",11.9949460916442,104.883
2023,"Bonneville",134,"Coho",13.3861826953003,105.231333333333
2024,"Bonneville",129,"Coho",13.4162096774194,NA
2000,"Bonneville",146,"Sockeye",13.0303230148048,NA
2001,"Bonneville",161,"Sockeye",13.8139024390244,NA
2002,"Bonneville",143,"Sockeye",12.0017227456258,NA
2003,"Bonneville",140,"Sockeye",12.4623933975241,NA
2004,"Bonneville",153,"Sockeye",13.848938172043,NA
2005,"Bonneville",143,"Sockeye",13.6445833333333,NA
2006,"Bonneville",139,"Sockeye",13.0788844086022,NA
2007,"Bonneville",145,"Sockeye",13.0571639784946,NA
2008,"Bonneville",150,"Sockeye",12.1137096774194,NA
2009,"Bonneville",146,"Sockeye",12.1977956989247,NA
2010,"Bonneville",152,"Sockeye",12.4241397849462,NA
2011,"Bonneville",137,"Sockeye",11.4663172043011,NA
2012,"Bonneville",135,"Sockeye",12.285564516129,NA
2013,"Bonneville",140,"Sockeye",13.1988306451613,82.682
2014,"Bonneville",142,"Sockeye",13.0089650537634,91.6543333333333
2015,"Bonneville",142,"Sockeye",14.5528897849462,121.523666666667
2016,"Bonneville",132,"Sockeye",14.3642607526882,101.628
2017,"Bonneville",135,"Sockeye",12.5058019713262,133.529
2018,"Bonneville",134,"Sockeye",13.3567741935484,118.347333333333
2019,"Bonneville",142,"Sockeye",13.2521756756757,153.097333333333
2020,"Bonneville",144,"Sockeye",13.155531628533,140.797
2021,"Bonneville",139,"Sockeye",14.361541218638,86.9293333333333
2022,"Bonneville",146,"Sockeye",11.9949460916442,104.883
2023,"Bonneville",136,"Sockeye",13.3861826953003,105.231333333333
2024,"Bonneville",145,"Sockeye",13.4162096774194,NA
2000,"Bonneville",138,"Steelhead",13.0303230148048,NA
2001,"Bonneville",139,"Steelhead",13.8139024390244,NA
2002,"Bonneville",147,"Steelhead",12.0017227456258,NA
2003,"Bonneville",149,"Steelhead",12.4623933975241,NA
2004,"Bonneville",137,"Steelhead",13.848938172043,NA
2005,"Bonneville",133,"Steelhead",13.6445833333333,NA
2006,"Bonneville",128,"Steelhead",13.0788844086022,NA
2007,"Bonneville",136,"Steelhead",13.0571639784946,NA
2008,"Bonneville",134,"Steelhead",12.1137096774194,NA
2009,"Bonneville",133,"Steelhead",12.1977956989247,NA
2010,"Bonneville",137,"Steelhead",12.4241397849462,NA
2011,"Bonneville",133,"Steelhead",11.4663172043011,NA
2012,"Bonneville",131,"Steelhead",12.285564516129,NA
2013,"Bonneville",130,"Steelhead",13.1988306451613,82.682
2014,"Bonneville",129,"Steelhead",13.0089650537634,91.6543333333333
2015,"Bonneville",131,"Steelhead",14.5528897849462,121.523666666667
2016,"Bonneville",126,"Steelhead",14.3642607526882,101.628
2017,"Bonneville",126,"Steelhead",12.5058019713262,133.529
